level;category;description;
L;000300;PARAFUSOS SEXTAVADOS - AÇO GR.5 - NF - R. PARCIAL;
L;000301;PARAFUSOS SEXTAVADOS - AÇO GR.5 - WW - R. INTEIRA;
L;000302;PARAFUSOS SEXTAVADOS - AÇO GR.5 - WW - R. PARCIAL;
L;000303;PARAFUSOS SEXTAVADOS - AÇO GR.8 - NC - R. INTEIRA;
L;000304;PARAFUSOS SEXTAVADOS - AÇO GR.8 - NC - R. PARCIAL;
L;000305;PARAFUSOS SEXTAVADOS - AÇO GR.8 - NF - R. INTEIRA;
L;000306;PARAFUSOS SEXTAVADOS - AÇO GR.8 - NF - R. PARCIAL;
L;000307;PARAFUSOS SEXTAVADOS - FERRO - 5.8 - MA -R.INTEIRA;
L;000308;PARAFUSOS SEXTAVADOS - FERRO - 5.8 - MA -R.PARCIAL;
L;000309;PARAFUSOS SEXTAVADOS - FERRO -GR.2 - NC -R.INTEIRA;
L;000310;PARAFUSOS SEXTAVADOS - FERRO -GR.2 - NC -R.PARCIAL;
L;000311;PARAFUSOS SEXTAVADOS - FERRO -GR.2 - NF -R.INTEIRA;
L;000312;PARAFUSOS SEXTAVADOS - FERRO -GR.2 - NF -R.PARCIAL;
L;000313;PARAFUSOS SEXTAVADOS - FERRO -GR.2 - WW -R.INTEIRA;
L;000314;PARAFUSOS SEXTAVADOS - FERRO -GR.2 - WW -R.PARCIAL;
L;000315;PARAFUSOS SEXTAVADOS ROSCA SOBERBA - FERRO 5.8;
L;000316;PARAFUSOS SEXTAVADOS ROSCA SOBERBA - INOX;
L;000317;PARAFUSOS SEXTAVADOS - INOX - MA - R. INTEIRA;
L;000318;PARAFUSOS SEXTAVADOS - INOX - MA - R. PARCIAL;
L;000319;PARAFUSOS SEXTAVADOS - INOX - NC - R. INTEIRA;
L;000320;PARAFUSOS SEXTAVADOS - INOX - NC - R. PARCIAL;
L;000321;PARAFUSOS SEXT. FLANG. - AÇO 8.8 - MA - R. INTEIRA;
L;000322;PARAFUSOS SEXT. FLANG. - AÇO 8.8 - MA - R. PARCIAL;
L;000323;PARAFUSOS SEXT. FLANG. - AÇO 10.9 - MA -R. INTEIRA;
L;000324;PARAFUSOS PARA TELHA;
L;000325;PASTAS MECÂNICA;
L;000326;PASTAS PARA ESMIRILHAR VÁLVULAS;
L;000327;PASTAS SOLDA;
L;000328;PASTILHAS REGULAGEM VÁLVULA;
L;000329;PINCÉIS CERDA GRISALHA;
L;000330;PINOS DE CENTRO - AÇO 8.8 - CABEÇA BAIXA;
L;000331;PINOS DE CENTRO - AÇO 8.8 - CABEÇA ALTA;
L;000332;PINOS DE CENTRO - AÇO 8.8 - CABEÇA EXTRA ALTA;
L;000333;PINOS DE CENTRO - AÇO GR.5 - CABEÇA BAIXA;
L;000334;PINOS DE CENTRO - AÇO GR.5 - CABEÇA ALTA;
L;000335;PINOS DE CENTRO - AÇO GR.5 - CABEÇA LARGA;
L;000336;PINOS DE CENTRO - AÇO GR.5 - CABEÇA ALTA LARGA;
L;000337;PINOS DE CENTRO - FERRO 5.8 - CABEÇA BAIXA;
L;000338;PINOS DE CENTRO - FERRO 5.8 - CABEÇA ALTA;
L;000339;PINOS DE CENTRO - FERRO GR.2 - CABEÇA BAIXA;
L;000340;PINOS DE CENTRO - FERRO GR.2 - CABEÇA ALTA;
L;000341;PINOS DE CENTRO - FERRO GR.2 - CABEÇA LARGA;
L;000342;PINOS DE CENTRO - FERRO GR.2 - CABEÇA ALTA LARGA;
L;000343;PINOS ELÁSTICOS;
L;000344;PINOS ENGATE;
L;000345;PINOS LISOS;
L;000346;PINOS DE MOLA;
L;000347;PINOS TRAVA LUVA CARDAN;
L;000348;PINOS TRAVA QUEBRA-DEDO;
L;000349;PISTOLAS PARA TUBO DE SILICONE;
L;000350;PITÃO;
L;000351;PONTA MONTADA;
L;000352;PONTEIRAS BITS PHILIPS PARA PARAFUSADEIRAS;
L;000353;PONTEIROS EM AÇO PARA CONCRETO;
L;000354;PONTEIROS ENCAIXE RÁPIDO SDS PLUS;
L;000355;PORCAS BORBOLETA - FERRO CLASSE 6;
L;000356;PORCAS BORBOLETA - FERRO GR.2;
L;000357;PORCA CARCAÇA;
L;000358;PORTA BITS;
L;000359;PRISIONEIROS MOTOR;
L;000360;PRISIONEIROS TRATOR;
L;000361;PRISIONEIROS TURBINA;
L;000362;PRISIONEIROS ESCAPE;
L;000363;PRISIONEIROS EM GERAL;
L;000364;PROLONGADORES PARA CHUMBADOR JAQUETA CONE;
L;000365;PROLONGADORES DE ROSCA;
L;000366;PULVERIZADORES;
L;000367;REBITADORAS MANUAIS;
L;000368;REBITES SEMI TUBULARES;
L;000369;REBITES DE FERRO CABEÇA REDONDA;
L;000370;REBITES LONA FREIO;
L;000371;REBITES REPUXO ABA LARGA;
L;000372;REBITES REPUXO ALUMÍNIO;
L;000373;REBITES REPUXO BRANCO;
L;000374;REBITES REPUXO PRETO;
L;000375;REBITES REPUXO TIPO TREVO;
L;000376;REBOLOS;
L;000377;RENOVADORES PARA COURO;
L;000378;RETENTORES;
L;000379;SELANTES PARA RADIADOR;
L;000380;SELOS MOTOR;
L;000381;SERRAS COPO;
L;000382;SILICONES;
L;000383;SOQUETES ESTRIADOS LONGO;
L;000384;SOQUETES SEXTAVADOS IMPACTO;
L;000385;SOQUETES PONTA LONGA ALLEN;
L;000386;SOQUETES PONTA LONGA RIBE;
L;000387;SOQUETES SEXTAVADOS;
L;000388;SOQUETES SEXTAVADOS LONGO;
L;000389;SOQUETES SEXTAVADOS LONGO IMPACTO;
L;000390;SOQUETES SEXTAVADOS MAGNÉTICO;
L;000391;SOQUETES ESTRIADOS;
L;000392;SOQUETES PONTA LONGA MULTIDENTADA;
L;000393;SOQUETES MULTI LOCK;
L;000394;SOQUETES TECHDRIVE;
L;000395;SOQUETES TRAFIX;
L;000396;SUPORTES EM GERAL;
L;000397;TALHADEIRAS;
L;000398;TAMBORES DE FREIO;
L;000399;LIMPA PNEUS;
L;000400;TEE PARA MANGUEIRA DE COMPRESSOR;
L;000401;TERMINAIS EM GERAL;
L;000402;TINTAS SPRAY;
L;000403;TORNOS DE BANCADA;
L;000404;TORQUES ARMADOR;
L;000405;TORQUÍMETROS ESTALO;
L;000406;TORQUÍMETROS VARETA;
L;000407;TRAVAS EM GERAL;
L;000408;TRENAS;
L;000409;TRIZETAS;
L;000410;TUBOS ESPIRAIS;
L;000411;TUCHOS VELA;
L;000412;UNIÕES INSTANTÂNEAS L;
L;000413;UNIÕES INSTANTÂNEAS RETA;
L;000414;UNIÕES INSTANTÂNEAS T;
L;000415;UNIÕES INSTANTÂNEAS Y;
L;000416;VARETAS DE SOLDA;
L;000417;VASELINAS;
L;000418;FITAS VEDA TRINCA;
L;000419;OUTRAS FITAS;
L;000420;VELAS IGNIÇÃO MOTO SERRA NACIONAL;
L;000421;VELUMÓIDES;
L;000422;BARRAS ROSCADAS DE FERRO 5.8 - MA;
L;000423;BARRAS ROSCADAS DE FERRO GR.2 - NC;
L;000424;BARRAS ROSCADAS DE FERRO GR.2 - NF;
L;000425;BARRAS ROSCADAS DE FERRO GR.2 - WW;
L;000426;PARAFUSOS SEXT. FLANG. - AÇO 10.9 - MA -R.PARCIAL;
L;000427;GRAMPOS DE MOLA - POLEGADA - TIPO B;
L;000428;GRAMPOS DE MOLA - POLEGADA - TIPO C;
L;000429;GRAMPOS DE MOLA - POLEGADA - TIPO D;
L;000430;GRAMPOS DE MOLA - POLEGADA - TIPO BA;
L;000431;GRAMPOS DE MOLA - POLEGADA - TIPO CA;
L;000432;GRAMPOS DE MOLA - POLEGADA - TIPO DA;
L;000433;GRAMPOS DE MOLA - MILÍMETRO - TIPO B;
L;000434;GRAMPOS DE MOLA - MILÍMETRO - TIPO C;
L;000435;GRAMPOS DE MOLA - MILÍMETRO - TIPO D;
L;000436;GRAMPOS DE MOLA - MILÍMETRO - TIPO BA;
L;000437;GRAMPOS DE MOLA - MILÍMETRO - TIPO CA;
L;000438;GRAMPOS DE MOLA - MILÍMETRO - TIPO DA;
L;000439;GRAMPOS DE MOLA - MILÍMETRO - TIPO DLA;
L;000440;GRAMPOS SUSPENSOR PNEUMÁTICO - POLEGADA - TIPO C;
L;000441;GRAMPOS SUSPENSOR PNEUMÁTICO - POLEGADA - TIPO D;
L;000442;GRAMPOS SUSPENSOR PNEUMÁTICO - POLEGADA - TIPO BA;
L;000443;PORCAS CENTRALIZADORAS DE RODA;
L;000444;PORCAS DA CARROCERIA;
L;000445;PORCAS ESPAÇADORAS DO AMORTECEDOR;
L;000446;PORCAS TRATOR DE ESTEIRA;
L;000447;PORCAS FACA COLHEITADEIRA;
L;000448;PORCAS FLANGEADAS COLETOR ESCAPAMENTO;
L;000449;PORCAS GARRA;
L;000450;PORCAS LÂMINA TRATOR;
L;000451;PORCAS PROLONGADOR;
L;000452;PORCAS QUADRADAS ESTEIRA TRATOR;
L;000453;PORCAS RÁPIDAS DO FAROL;
L;000454;PORCAS REBITE;
L;000455;PORCAS DE RODA;
L;000456;PORCAS DE RODA CROMADA;
L;000457;PORCAS DE RODA TRATOR;
L;000458;PORCAS SEXTAVADAS - AÇO CLASSE 10 - MA;
L;000459;PORCAS SEXTAVADAS - AÇO CLASSE 10 - MB;
L;000460;PORCAS SEXTAVADAS - AÇO CLASSE 8 - MA;
L;000461;PORCAS SEXTAVADAS - AÇO CLASSE 8 - MB;
L;000462;PORCAS SEXTAVADAS - AÇO GR.5 - NC;
L;000463;PORCAS SEXTAVADAS - AÇO GR.5 - NF;
L;000464;PORCAS SEXTAVADAS - AÇO GR.8 - NC;
L;000465;PORCAS SEXTAVADAS - AÇO GR.8 - NF;
L;000466;PORCAS SEXTAVADAS DUPLAS - AÇO CLASSE 10 - MA;
L;000467;PORCAS SEXTAVADAS DUPLAS - AÇO CLASSE 10 - MB;
L;000468;PORCAS SEXTAVADAS DUPLAS - AÇO GR.8 - NC;
L;000469;PORCAS SEXTAVADAS DUPLAS - AÇO GR.8 - NF;
L;000470;PORCAS SEXTAVADAS FLANGEADAS - MA;
L;000471;PORCAS SEXTAVADAS FLANGEADAS - MB;
L;000472;PORCAS SEXTAVADAS PESADAS TEMPERADA - AÇO 2H - NC;
L;000473;PORCAS SEXTAVADAS - AÇO CLASSE 8 - FIAT;
L;000474;PORCAS SEXTAVADAS TRAVANTE NYLON - MA;
L;000475;PORCAS SEXTAVADAS TRAVANTE NYLON - MB;
L;000476;PORCAS SEXTAVADAS TRAVANTE NYLON - NC;
L;000477;PORCAS SEXTAVADAS TRAVANTE NYLON - NF;
L;000478;PORCAS SEXTAVADAS TRAVANTE TORQUE - MA;
L;000479;PORCAS SEXTAVADAS TRAVANTE TORQUE - MB;
L;000480;PORCAS SEXTAVADAS TRAVANTE TORQUE - NC;
L;000481;PORCAS SEXTAVADAS TRAVANTE TORQUE - NF;
L;000482;PORCAS SEXTAVADAS TRAVANTE NYLON - WW;
L;000483;PORCAS SEXTAVADAS TRAVANTE TORQUE FLANGEADA - MA;
L;000484;PORCAS SEXTAVADAS TRAVANTE TORQUE FLANGEADA - MB;
L;000485;PORCAS SEXTAVADAS ROSCA ESQUERDA - MA;
L;000486;PORCAS SEXTAVADAS ROSCA ESQUERDA - MB;
L;000487;PORCAS SEXTAVADAS ROSCA ESQUERDA - NC;
L;000488;PORCAS SEXTAVADAS ROSCA ESQUERDA - NF;
L;000489;PORCAS SEXTAVADAS DUPLAS ROSCA ESQUERDA - MA;
L;000490;PORCAS SEXTAVADAS DUPLAS ROSCA ESQUERDA - MB;
L;000491;PORCAS SEXTAVADAS DUPLAS ROSCA ESQUERDA - NC;
L;000492;PORCAS SEXTAVADAS DUPLAS ROSCA ESQUERDA - NF;
L;000493;PORCAS SEXTAVADAS - FERRO CLASSE 6 - MA;
L;000494;PORCAS SEXTAVADAS - FERRO CLASSE 6 - MB;
L;000495;PORCAS SEXTAVADAS - FERRO GR.2 - NC;
L;000496;PORCAS SEXTAVADAS - FERRO GR.2 - NF;
L;000497;PORCAS SEXTAVADAS - FERRO CLASSE 6 - FIAT;
L;000498;PORCAS SEXTAVADAS DUPLAS - FERRO CLASSE 6 - MA;
L;000499;PORCAS SEXTAVADAS DUPLAS - FERRO CLASSE 6 - MB;
L;000500;PORCAS SEXTAVADAS DUPLAS - FERRO GR.2 - NC;
L;000501;PORCAS SEXTAVADAS DUPLAS - FERRO GR.2 - NF;
L;000502;PORCAS SEXTAVADAS DUPLAS - FERRO CLASSE 6 - FIAT;
L;000503;PORCAS SEXTAVADAS - FERRO GR.2 - WW;
L;000504;PORCAS SEXTAVADAS DUPLAS - FERRO GR.2 - WW;
L;000505;PORCAS SEXTAVADAS PESADAS - AÇO 1045 - NC;
L;000506;PORCAS SEXTAVADAS PESADAS - AÇO 1045 - NF;
L;000507;PORCAS SEXTAVADAS INOX;
L;000508;PORCAS SEXTAVADAS CASTELADAS COM COROA - MA;
L;000509;PORCAS SEXTAVADAS CASTELADAS COM COROA - MB;
L;000510;PORCAS SEXTAVADAS CASTELADAS COM COROA - NC;
L;000511;PORCAS SEXTAVADAS CASTELADAS COM COROA - NF;
L;000512;PORCAS SEXTAVADAS CASTELADAS SEMI EIXO;
L;000513;PORCAS SEXTAVADAS CASTELADAS SEM COROA - MA;
L;000514;PORCAS SEXTAVADAS CASTELADAS SEM COROA - MB;
L;000515;PORCAS SEXTAVADAS CASTELADAS SEM COROA - NC;
L;000516;PORCAS SEXTAVADAS CASTELADAS SEM COROA - NF;
L;000517;PORCAS PARA PONTEIRAS CARDAN;
L;000518;PORCAS TUCHO;
L;000519;PORCAS TURBINA;
L;000520;ESCOVAS;
L;000521;PINOS DO ESTABILIZADOR;
L;000522;PINOS COM ROSCA;
L;000523;TRAVAS PINO BALANÇA;
L;000524;MANGUEIRAS CRISTAIS TRANÇADAS;
L;000525;ANÉIS ELÁSTICOS ESPECIAIS;
L;000526;PINOS DE CENTRO - AÇO 10.9 - CABEÇA BAIXA;
L;000527;ABRAÇADEIRAS MANGOTE;
L;000528;PARAFUSOS ELETROCALHA;
L;000529;ARRUELAS BICO INJETOR;
L;000530;TRAVAS JOANINHA BICA;
L;000531;PORCAS SEXTAVADAS DUPLAS - AÇO GRAU 5;
L;000532;PORCAS SEXTAVADAS DUPLAS - AÇO CLASSE 8;
L;000533;PORCAS SEXTAVADAS FLANGEADAS - FIAT;
L;000534;PARAFUSOS SEXTAVADOS - AÇO GRAU 8 - ROSCA PARCIAL;
L;000535;ABRAÇADEIRAS TIPO D;
L;000536;LIMAS ROTATIVAS;
L;000537;CONEXÕES RETAS TUBO ROSCA MACHO;
L;000538;PINOS DO CILINDRO;
L;000539;CHAVES DE RODA CRUZ;
L;000540;PORCA CALOTA;
L;000541;PARAFUSOS AUTO ATARRAXANTES PANELA FENDA;
L;000542;REBITE DE REPUXO INOX;
L;000543;MANIPULOS;
L;000544;PROTETORES DE OUVIDO;
L;000545;PORCAS BORBOLETA INOX;
L;000546;PARAFUSOS BROCANTES CABEÇA REDONDA TORX;
L;000547;BROCAS ENCAIXE RÁPIDO SDS MAX;
L;000548;SOQUETES UNIVERSAIS;
L;000549;PARAFUSOS ARADOS TIPO B1 - FERRO;
L;000550;ARRUELAS DE PRESSÃO INOX;
L;000551;ARRUELAS QUADRADAS;
L;000552;BARRAS ROSCADAS DE FERRO 5.8 - MB;
L;000553;ARRUELAS DE PVC PARA PARAFUSO TELHEIRO;
L;000554;REBITADORES PNEUMATICOS;
L;000555;LUVAS CARDAN;
L;000556;CABOS DE AÇO;
T;001.001;PARAFUSOS SEXTAVADOS;
L;001.001.001;PARAF SEXT POL AÇO GR5 ROSCA FINA (MB) RP ENEG;
T;001;PARAFUSOS;
